21665994	Alcohol consumption (transferrin glycosylation)	TF	TF	rs1049296	5E-43	alcohol drinking
21665994	Alcohol consumption (transferrin glycosylation)	TF	TF	rs1799899	1E-9	alcohol drinking
21665994	Alcohol consumption (transferrin glycosylation)	SRPRB	SRPRB	rs1534166	2E-17	alcohol drinking
21665994	Alcohol consumption (transferrin glycosylation)	TF	TF	rs3811647	1E-35	alcohol drinking
21665994	Alcohol consumption (transferrin glycosylation)	HFE	HFE	rs1800562	2E-32	alcohol drinking
21665994	Alcohol consumption (transferrin glycosylation)	PGM1	PGM1 - ROR1	rs2749097	2E-9	alcohol drinking
21618603	Orofacial clefts (maternal alcohol consumption interaction)	C6orf105	AL022724.3, ADTRP	rs2294426	4E-8	alcohol consumption measurement, Orofacial clefting syndrome, cleft lip
21618603	Orofacial clefts (maternal alcohol consumption interaction)	SMC2	AL590381.1 - SMC2-AS1	rs1536895	3E-7	alcohol consumption measurement, Orofacial clefting syndrome, cleft lip
18385739	Nicotine dependence	CHRNA5, CHRNA3, CHRNB4	CHRNA3	rs1051730	6E-20	nicotine dependence
20185149	Schizophrenia	ACSM1	ACSM1, ACSM3	rs433598	3E-6	schizophrenia
20185149	Schizophrenia	PLAA	PLAA	rs7045881	2E-6	schizophrenia
20185149	Schizophrenia	ANK3	ANK3	rs10761482	8E-6	schizophrenia
20668430	Glomerulosclerosis	APOL1, MYH9	APOL1	rs2239785	5E-13	focal segmental glomerulosclerosis
19416921	Bipolar disorder	NF1A	LINC01748	rs472913	2E-7	bipolar disorder
19416921	Bipolar disorder	NR	AC090993.1	rs6990255	6E-6	bipolar disorder
19416921	Bipolar disorder	NR	GFI1B	rs2905072	6E-6	bipolar disorder
19416921	Bipolar disorder	NR	AC091180.5 - AC015656.1	rs1035050	9E-6	bipolar disorder
19416921	Bipolar disorder	NR	ATP8B3	rs7250872	2E-6	bipolar disorder
19416921	Bipolar disorder	ITIH1, NEK4	ITIH1	rs1042779	2E-7	bipolar disorder
19416921	Bipolar disorder	NR	AC084017.1 - MIR1263	rs7427021	5E-6	bipolar disorder
19416921	Bipolar disorder	MCTP1	MCTP1	rs17418283	1E-7	bipolar disorder
19416921	Bipolar disorder	NR	TLE3 - RNU6-745P	rs6494849	7E-6	bipolar disorder
19416921	Bipolar disorder	CTNNA2	CTNNA2	rs13409348	3E-6	bipolar disorder
19416921	Bipolar disorder	KIT	LINC02260 - KIT	rs2537859	4E-6	bipolar disorder
19416921	Bipolar disorder	NR	CTSF	rs2242663	1E-6	bipolar disorder
23678272	Vitiligo (non-segmental)	KIAA1005	RPGRIP1L	rs3213758	6E-11	Vitiligo
18677311	Schizophrenia	ZNF804A	ZNF804A	rs1344706	2E-7	schizophrenia
